qual_type,num_workers,num_HITs_completed,precision (by HITs),recall (by HITs),f1 (by HITs),precision (by worker),recall (by worker),f1 (by worker)
all,51,288,0.8940162806740106,0.8976228979312132,0.8885501543649655,0.8546634851250995,0.8788913235164235,0.8571234419468694
automatic aligner,1,30,0.9291979625312958,0.88069089372374,0.9006751328905029,0.9291979625312958,0.88069089372374,0.9006751328905029
annotator,1,19,0.9514776245426401,0.9394354450939018,0.9423901557213628,0.9514776245426401,0.9394354450939018,0.9423901557213628
victoria,1,30,0.9215066135972383,0.9675110265551441,0.9411155883061554,0.9215066135972383,0.9675110265551441,0.9411155883061554
passed,25,300,0.8795145965557868,0.9242154217358808,0.8922828085868063,0.8575812953008508,0.9407255927144982,0.8865985956996212
participated,39,300,0.8597024627188204,0.8914536273436805,0.8613137674726246,0.8434191444770894,0.8662650535060602,0.8419644403190515
